latency
52,
58,
59,
60,
66,
67,
67,
67,
68,
70,
74,
74,
75,
77,
82,
82,
86,
94,
97,
98,
101,
105,
118,
122,
137,
138,
143,
143,
146,
146,
148,
151,
152,
152,
155,
158,
159,
159,
161,
161,
162,
162,
162,
163,
164,
165,
166,
167,
168,
170,
171,
172,
172,
172,
173,
173,
174,
175,
175,
175,
175,
176,
176,
176,
178,
178,
178,
179,
179,
179,
180,
182,
182,
182,
183,
183,
187,
187,
188,
189,
191,
193,
194,
194,
194,
195,
195,
197,
199,
201,
201,
201,
202,
203,
204,
205,
205,
205,
207,
207,
207,
207,
208,
208,
208,
208,
208,
209,
209,
210,
214,
215,
216,
218,
220,
223,
223,
225,
226,
226,
230,
238,
238,
242,
248,
250,
256,
256,
258,
259,
259,
260,
265,
276,
276,
277,
280,
283,
283,
284,
286,
288,
292,
292,
295,
296,
306,
308,
315,
316,
317,
321,
323,
326,
327,
331,
334,
335,
339,
347,
351,
353,
354,
355,
360,
364,
366,
366,
373,
379,
380,
388,
389,
392,
421,
423,
434,
441,
447,
468,
469,
469,
472,
474,
475,
476,
479,
481,
483,
487,
487,
502,
513,
522,
524,
525,
526,
660,
660,
903,
1844,
1849,
1850,
1855,
1857,
1860,
1867,
1875,
1875,
1879,
1882,
1884,
1890,
1891,
1891,
1893,
1894,
1896,
1904,
1906,
1910,
1915,
1919,
1925,
1927,
1933,
1936,
1938,
1947,
1947,
1947,
1953,
1964,
1964,
2013,
2034,
2038,
2047,
2054,
2064,
2078,
2083,
2086,
2087,
2087,
2091,
2094,
2099,
2101,
2104,
2107,
2110,
2115,
2118,
2119,
2121,
2124,
2125,
2125,
2128,
2138,
2143,
2147,
2153,
2155,
2161,
2164,
2180,
2180,
2188,
2190,
2196,
2210,
2211,
2212,
2223,
2227,
2229,
2231,
2253,
2276,
2277,
2277,
2316,
2324,
2330,
2369,
2370,
2376,
2381,
2402,
2419,
2422,
2425,
2439,
2462,
2465,
2529,
2531,
2988,
