get_latency
175,
227,
242,
242,
247,
256,
259,
269,
278,
282,
291,
291,
293,
294,
301,
301,
312,
319,
320,
323,
324,
329,
332,
334,
356,
357,
357,
359,
364,
364,
366,
367,
367,
374,
379,
380,
388,
388,
390,
394,
396,
397,
415,
416,
417,
420,
421,
440,
443,
447,
448,
451,
454,
456,
457,
457,
459,
462,
474,
478,
498,
509,
515,
530,
538,
539,
544,
564,
565,
568,
573,
577,
582,
589,
617,
618,
620,
626,
626,
649,
652,
653,
658,
659,
663,
676,
684,
695,
703,
704,
715,
750,
750,
766,
770,
777,
778,
787,
787,
788,
809,
812,
826,
826,
832,
841,
860,
860,
861,
870,
876,
882,
886,
905,
919,
927,
927,
941,
951,
953,
964,
964,
968,
972,
972,
1007,
1009,
1014,
1020,
1035,
1035,
1045,
1051,
1058,
1060,
1105,
1108,
1120,
1124,
1143,
1164,
1164,
1167,
1186,
1191,
1250,
1263,
1264,
1274,
1290,
1290,
1302,
1315,
1340,
1342,
1356,
1394,
1402,
1405,
1447,
1475,
1486,
1511,
1515,
1516,
1542,
1566,
1588,
1605,
1617,
1648,
1672,
1674,
1677,
1682,
1685,
1688,
1689,
1692,
1740,
1749,
1758,
1765,
1813,
1845,
1851,
1852,
1876,
1904,
1917,
1930,
1949,
1997,
2002,
2011,
2026,
2039,
2045,
2079,
2086,
2089,
2130,
2141,
2162,
2162,
2171,
2175,
2180,
2181,
2201,
2215,
2216,
2216,
2221,
2253,
2255,
2260,
2262,
2275,
2281,
2290,
2321,
2323,
2332,
2333,
2356,
2404,
2450,
2456,
2479,
2509,
2511,
2512,
2523,
2534,
2537,
2564,
2574,
2604,
2659,
2669,
2670,
2703,
2707,
2725,
2793,
2835,
2844,
2864,
2872,
2922,
2956,
2999,
3001,
3010,
3026,
3039,
3047,
3113,
3190,
3273,
3284,
3287,
3319,
3332,
3348,
3351,
3361,
3365,
3384,
3412,
3448,
3474,
3535,
3559,
3566,
3568,
3619,
3623,
3659,
3697,
3718,
3744,
3763,
3765,
3773,
3787,
3807,
3813,
3820,
3861,
3932,
3941,
3950,
3983,
3985,
4037,
4049,
4056,
4060,
4185,
4187,
4199,
4250,
4259,
4268,
4277,
4320,
4331,
4349,
4401,
4490,
4502,
4511,
4533,
4634,
4641,
4663,
4667,
4705,
4761,
4813,
4823,
4855,
4883,
4900,
4916,
5011,
5135,
5155,
5159,
5183,
5260,
5292,
5301,
5333,
5364,
5471,
5493,
5494,
5548,
5618,
5770,
5797,
5799,
5869,
5884,
5911,
5959,
5994,
6029,
6053,
6073,
6083,
6112,
6123,
6132,
6133,
6171,
6185,
6240,
6296,
6340,
6355,
6391,
6402,
6419,
6437,
6453,
6460,
6546,
6561,
6601,
6619,
6634,
6654,
6662,
6786,
6831,
6852,
6857,
6911,
6942,
7041,
7101,
7102,
7133,
7191,
